co_anomes,co_uf,sg_uf,no_uf,co_regiao_brasil,no_regiao_brasil,sg_regiao_brasil,vl_indicador_calculado_reg,vl_indicador_calculado_br,dt_competencia,dt_atualizacao,ds_unidade_medida,sg_granularidade,ds_granularidade,sg_categoria,ds_categoria,tx_cobertura_agua,tx_cobertura_lixo,tx_cobertura_esgoto,taxa_mortalidade_infantil,indice_saneamento_consolidado
201812,12.0,AC,Acre,1.0,Norte,N ,39.73,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,30.8,75.82,46.83,16.72201138519924,51.15
201812,23.0,CE,Ceará,2.0,Nordeste,NE,36.35,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,77.28999999999999,81.75,53.26,12.439104087452472,70.76666666666667
201812,32.0,ES,Espírito Santo,3.0,Sudeste,SE,7.92,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,95.63,91.23,89.68,10.680697828899069,92.18
201812,52.0,GO,Goiás,5.0,Centro-Oeste,CO,17.36,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,89.71000000000001,94.2,58.23,12.64489992378966,80.71333333333334
201912,17.0,TO,Tocantins,1.0,Norte,N ,38.01,17.38,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,93.0,82.66,42.45,12.060786363270886,72.70333333333333
201912,28.0,SE,Sergipe,2.0,Nordeste,NE,36.67,17.38,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,68.3,88.01,57.36,17.4514726593595,71.22333333333334
201912,43.0,RS,Rio Grande do Sul,4.0,Sul,S ,7.0,17.38,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,93.66,95.29,78.88,10.5987908317117,89.27666666666666
202012,14.0,RR,Roraima,1.0,Norte,N ,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,19.153802172670098,100.0
202012,25.0,PB,Paraíba,2.0,Nordeste,NE,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,12.971551433089894,100.0
202012,35.0,SP,São Paulo,3.0,Sudeste,SE,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,10.016417398834545,100.0
202112,11.0,RO,Rondônia,1.0,Norte,N ,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,12.316715542521996,100.0
202112,22.0,PI,Piauí,2.0,Nordeste,NE,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,13.839324571329096,100.0
202112,31.0,MG,Minas Gerais,3.0,Sudeste,SE,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,10.88082049933433,100.0
202112,51.0,MT,Mato Grosso,5.0,Centro-Oeste,CO,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,12.597131414096465,100.0
202212,16.0,AP,Amapá,1.0,Norte,N ,39.21,17.89,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,46.62,93.87,22.82,18.387050972596903,54.43666666666667
202212,27.0,AL,Alagoas,2.0,Nordeste,NE,33.92,17.89,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,60.14,87.96000000000001,47.08,13.139514580059368,65.06
202212,42.0,SC,Santa Catarina,4.0,Sul,S ,8.17,17.89,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,90.68,95.84,68.13,9.864515146902116,84.88333333333334
202312,13.0,AM,Amazonas,1.0,Norte,N ,37.18,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,79.52,85.4,52.62,17.183440641590423,72.51333333333334
202312,24.0,RN,Rio Grande do Norte,2.0,Nordeste,NE,32.2,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,67.75999999999999,91.94,43.28,11.373092926490983,67.66
202312,33.0,RJ,Rio de Janeiro,3.0,Sudeste,SE,9.48,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,73.33,98.88,90.62,13.518099547511312,87.61
202312,53.0,DF,Distrito Federal,5.0,Centro-Oeste,CO,10.41,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,98.01,99.46,93.2,11.442617392778438,96.89
201612,17.0,TO,Tocantins,1.0,Norte,N ,38.06,18.25,2016-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,96.69,85.89,37.17,12.413229889750918,73.25
201612,28.0,SE,Sergipe,2.0,Nordeste,NE,38.48,18.25,2016-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,80.38,88.56,67.44,15.295895395812131,78.79333333333334
201612,43.0,RS,Rio Grande do Sul,4.0,Sul,S ,4.94,18.25,2016-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,95.54,94.39,75.59,10.174367363054987,88.50666666666666
201712,14.0,RR,Roraima,1.0,Norte,N ,37.95,18.87,2017-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,95.05,87.7,31.010000000000005,17.616496184445527,71.25333333333333
201712,25.0,PB,Paraíba,2.0,Nordeste,NE,39.47,18.87,2017-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,52.21,82.35,61.81,13.44979381622675,65.45666666666666
201712,35.0,SP,São Paulo,3.0,Sudeste,SE,8.53,18.87,2017-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,94.89,98.78,95.8,10.961778160627004,96.49
201812,11.0,RO,Rondônia,1.0,Norte,N ,39.73,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,48.59,77.49,11.64,12.922923989065218,45.906666666666666
201812,22.0,PI,Piauí,2.0,Nordeste,NE,36.35,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,91.31,71.64,10.230000000000004,15.09897996210136,57.72666666666667
201812,31.0,MG,Minas Gerais,3.0,Sudeste,SE,7.92,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,93.97,91.54,92.25,10.995527755114376,92.58666666666666
201812,51.0,MT,Mato Grosso,5.0,Centro-Oeste,CO,17.36,17.47,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,76.49,86.61,39.51,12.032130682777009,67.53666666666666
201912,16.0,AP,Amapá,1.0,Norte,N ,38.01,17.38,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,48.62,89.07,19.0,19.329735157524787,52.23
201912,27.0,AL,Alagoas,2.0,Nordeste,NE,36.67,17.38,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,72.85,86.17,52.36,13.28949440856828,70.46
201912,42.0,SC,Santa Catarina,4.0,Sul,S ,7.0,17.38,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,89.27,95.49,67.46000000000001,9.66782098282743,84.07333333333334
202012,13.0,AM,Amazonas,1.0,Norte,N ,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,14.121352526225367,100.0
202012,24.0,RN,Rio Grande do Norte,2.0,Nordeste,NE,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,11.682296301366735,100.0
202012,33.0,RJ,Rio de Janeiro,3.0,Sudeste,SE,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,12.626943470836704,100.0
202012,53.0,DF,Distrito Federal,5.0,Centro-Oeste,CO,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,10.448444173276387,100.0
202112,21.0,MA,Maranhão,2.0,Nordeste,NE,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,13.90333698179088,100.0
202112,29.0,BA,Bahia,2.0,Nordeste,NE,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,15.061918841324934,100.0
202112,50.0,MS,Mato Grosso do Sul,5.0,Centro-Oeste,CO,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,100.0,100.0,100.0,10.86056361356269,100.0
202212,15.0,PA,Pará,1.0,Norte,N ,39.21,17.89,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,48.78,77.27,26.27,14.704966526545228,50.77333333333333
202212,26.0,PE,Pernambuco,2.0,Nordeste,NE,33.92,17.89,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,37.24,87.25,72.01,13.311737611985626,65.5
202212,41.0,PR,Paraná,4.0,Sul,S ,8.17,17.89,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,92.91,94.25,82.0,10.386588246979446,89.71999999999998
202312,12.0,AC,Acre,1.0,Norte,N ,37.18,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,40.19,80.99,55.1,17.492312948411342,58.76
202312,23.0,CE,Ceará,2.0,Nordeste,NE,32.2,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,79.43,86.93,67.14,11.91516686584735,77.83333333333333
202312,32.0,ES,Espírito Santo,3.0,Sudeste,SE,9.48,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,88.28999999999999,94.2,89.18,11.750814177157332,90.55666666666669
202312,52.0,GO,Goiás,5.0,Centro-Oeste,CO,10.41,16.77,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,87.16,95.48,62.31,12.377793674535562,81.64999999999999
201612,11.0,RO,Rondônia,1.0,Norte,N ,38.06,18.25,2016-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias,50.22,78.14,14.480000000000004,13.686911890504703,47.613333333333344
