ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2022,29,BA,290010,ABAIRA,54.0,1.0,18.51851851851852
2022,29,BA,290020,ABARE,279.0,2.0,7.168458781362007
2022,29,BA,290030,ACAJUTIBA,156.0,2.0,12.82051282051282
2022,29,BA,290035,ADUSTINA,146.0,3.0,20.54794520547945
2022,29,BA,290040,AGUA FRIA,145.0,2.0,13.793103448275861
2022,29,BA,290050,ERICO CARDOSO,118.0,2.0,16.949152542372882
2022,29,BA,290060,AIQUARA,55.0,0.0,0.0
2022,29,BA,290070,ALAGOINHAS,1876.0,24.0,12.793176972281449
2022,29,BA,290080,ALCOBACA,325.0,5.0,15.384615384615385
2022,29,BA,290090,ALMADINA,43.0,1.0,23.25581395348837
2022,29,BA,290100,AMARGOSA,434.0,7.0,16.129032258064516
2022,29,BA,290110,AMELIA RODRIGUES,164.0,1.0,6.097560975609756
2022,29,BA,290115,AMERICA DOURADA,202.0,0.0,0.0
2022,29,BA,290120,ANAGE,193.0,3.0,15.544041450777202
2022,29,BA,290130,ANDARAI,152.0,1.0,6.578947368421052
2022,29,BA,290135,ANDORINHA,167.0,2.0,11.976047904191617
2022,29,BA,290140,ANGICAL,188.0,7.0,37.234042553191486
2022,29,BA,290150,ANGUERA,49.0,0.0,0.0
2022,29,BA,290160,ANTAS,137.0,1.0,7.299270072992701
2022,29,BA,290170,ANTONIO CARDOSO,112.0,2.0,17.857142857142858
2022,29,BA,290180,ANTONIO GONCALVES,96.0,2.0,20.833333333333332
2022,29,BA,290190,APORA,177.0,2.0,11.299435028248588
2022,29,BA,290195,APUAREMA,72.0,2.0,27.777777777777775
2022,29,BA,290200,ARACATU,171.0,3.0,17.543859649122805
2022,29,BA,290205,ARACAS,116.0,4.0,34.48275862068965
2022,29,BA,290210,ARACI,644.0,10.0,15.527950310559007
2022,29,BA,290220,ARAMARI,88.0,1.0,11.363636363636363
2022,29,BA,290225,ARATACA,77.0,1.0,12.987012987012989
2022,29,BA,290230,ARATUIPE,111.0,1.0,9.00900900900901
2022,29,BA,290240,AURELINO LEAL,177.0,10.0,56.497175141242934
2022,29,BA,290250,BAIANOPOLIS,158.0,2.0,12.658227848101266
2022,29,BA,290260,BAIXA GRANDE,146.0,2.0,13.698630136986301
2022,29,BA,290265,BANZAE,119.0,1.0,8.403361344537815
2022,29,BA,290270,BARRA,815.0,19.0,23.312883435582823
2022,29,BA,290280,BARRA DA ESTIVA,359.0,2.0,5.571030640668524
2022,29,BA,290290,BARRA DO CHOCA,446.0,9.0,20.179372197309416
2022,29,BA,290300,BARRA DO MENDES,170.0,1.0,5.88235294117647
2022,29,BA,290310,BARRA DO ROCHA,57.0,0.0,0.0
2022,29,BA,290320,BARREIRAS,2393.0,31.0,12.954450480568324
2022,29,BA,290323,BARRO ALTO,141.0,1.0,7.092198581560283
2022,29,BA,290327,BARROCAS,199.0,6.0,30.15075376884422
2022,29,BA,290330,BARRO PRETO,58.0,2.0,34.48275862068965
2022,29,BA,290340,BELMONTE,227.0,3.0,13.215859030837004
2022,29,BA,290350,BELO CAMPO,243.0,3.0,12.345679012345679
2022,29,BA,290360,BIRITINGA,179.0,4.0,22.3463687150838
2022,29,BA,290370,BOA NOVA,139.0,1.0,7.194244604316547
2022,29,BA,290380,BOA VISTA DO TUPIM,186.0,1.0,5.376344086021506
2022,29,BA,290390,BOM JESUS DA LAPA,967.0,13.0,13.44364012409514
2022,29,BA,290395,BOM JESUS DA SERRA,102.0,0.0,0.0
2022,29,BA,290400,BONINAL,138.0,6.0,43.47826086956522
2022,29,BA,290405,BONITO,215.0,3.0,13.953488372093023
2022,29,BA,290410,BOQUIRA,221.0,3.0,13.574660633484163
2022,29,BA,290420,BOTUPORA,128.0,1.0,7.8125
2022,29,BA,290430,BREJOES,131.0,4.0,30.534351145038165
2022,29,BA,290440,BREJOLANDIA,90.0,2.0,22.22222222222222
2022,29,BA,290450,BROTAS DE MACAUBAS,109.0,1.0,9.174311926605505
2022,29,BA,290460,BRUMADO,893.0,7.0,7.838745800671893
2022,29,BA,290470,BUERAREMA,201.0,3.0,14.925373134328359
