co_uf,sg_uf,co_municipio,tx_atendimento_total_agua,tx_atendimento_urbano_agua,tx_atendimento_urbano_esgoto,tx_coleta_esgoto,tx_tratamento_esgoto,consumo_per_capita_agua,idx_conformidade_coliformes,no_prestador_servico_ae
29,BA,290010,99.85,0.0,0.0,88.89,0.0,67.65,100.0,Prefeitura Municipal de Abaíra
29,BA,290020,60.23,0.0,0.0,49.86,100.0,95.91,112.5,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290030,87.11,0.0,0.0,0.0,0.0,98.29,137.72,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290035,72.97,0.0,0.0,0.0,0.0,97.35,89.94,Prefeitura Municipal de Adustina
29,BA,290040,36.56,0.0,0.0,0.0,0.0,155.7,95.83,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290050,73.44,0.0,0.0,0.0,0.0,149.32,109.49,Serviço Autônomo de Água e Esgoto
29,BA,290060,58.24,0.0,0.0,0.0,0.0,103.22,139.1,Prefeitura Municipal de Aiquara
29,BA,290070,97.26,0.0,0.0,38.85,69.48,106.47,123.63,Serviço Autônomo de Água e Esgoto
29,BA,290080,51.58,0.0,0.0,0.0,0.0,118.03,110.53,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290090,79.78,0.0,0.0,0.0,0.0,129.46,121.76,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290100,72.5,0.0,0.0,2.35,100.0,119.32,105.56,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290110,82.41,0.0,0.0,0.0,0.0,91.46,90.24,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290115,80.04,0.0,0.0,0.0,0.0,109.97,126.0,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290120,18.99,0.0,0.0,0.0,0.0,155.32,129.17,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290130,55.52,0.0,0.0,0.0,0.0,101.54,123.39,Empresa Baiana de Águas e Saneamento S.A.
