 Óbitos infantis - Bahia
Óbitos p/Ocorrênc por Município e Local ocorrência
Período:2022
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
" MUNICIPIO IGNORADO - BA";-;-;-;-;1;-;1
"290010 ABAIRA";-;-;-;-;-;-;-
"290020 ABARE";-;-;-;-;-;-;-
"290030 ACAJUTIBA";-;-;-;-;1;-;1
"290035 ADUSTINA";1;-;-;-;-;-;1
"290040 AGUA FRIA";-;-;-;-;-;-;-
"290050 ERICO CARDOSO";-;-;-;-;-;-;-
"290060 AIQUARA";-;-;-;-;-;-;-
"290070 ALAGOINHAS";14;-;1;-;-;-;15
"290080 ALCOBACA";-;-;-;-;-;-;-
"290090 ALMADINA";-;1;-;-;-;-;1
"290100 AMARGOSA";4;-;-;-;-;-;4
"290110 AMELIA RODRIGUES";1;-;-;-;-;-;1
"290115 AMERICA DOURADA";1;-;-;-;-;-;1
"290120 ANAGE";-;-;-;-;-;-;-
"290130 ANDARAI";-;-;-;-;-;-;-
"290135 ANDORINHA";-;-;-;-;-;-;-
"290140 ANGICAL";-;-;-;-;-;-;-
"290150 ANGUERA";-;-;-;-;-;-;-
"290160 ANTAS";-;-;-;-;-;-;-
"290170 ANTONIO CARDOSO";-;-;-;-;-;-;-
"290180 ANTONIO GONCALVES";-;-;-;-;-;-;-
"290190 APORA";-;-;-;-;-;-;-
"290195 APUAREMA";-;-;-;-;-;-;-
"290200 ARACATU";-;-;1;-;-;-;1
"290205 ARACAS";-;-;-;-;1;-;1
"290210 ARACI";3;-;-;-;-;-;3
"290220 ARAMARI";-;-;-;-;-;-;-
"290225 ARATACA";-;-;-;-;-;-;-
"290230 ARATUIPE";-;-;-;-;-;-;-
"290240 AURELINO LEAL";1;-;-;-;-;-;1
"290250 BAIANOPOLIS";-;-;-;-;1;-;1
"290260 BAIXA GRANDE";-;-;-;-;-;-;-
"290265 BANZAE";-;-;-;-;-;-;-
"290270 BARRA";15;-;-;-;-;-;15
"290280 BARRA DA ESTIVA";5;-;-;-;-;-;5
"290290 BARRA DO CHOCA";1;-;-;-;-;-;1
"290300 BARRA DO MENDES";-;-;-;-;-;-;-
"290310 BARRA DO ROCHA";-;-;-;-;-;-;-
"290320 BARREIRAS";89;-;-;1;1;-;91
"290323 BARRO ALTO";-;-;-;-;-;-;-
"290327 BARROCAS";-;-;-;-;-;-;-
"290330 BARRO PRETO";-;-;-;-;-;-;-
"290340 BELMONTE";1;-;-;-;-;-;1
"290350 BELO CAMPO";-;-;-;-;-;-;-
"290360 BIRITINGA";-;-;-;-;-;-;-
"290370 BOA NOVA";-;-;-;-;-;-;-
"290380 BOA VISTA DO TUPIM";-;-;-;-;-;-;-
"290390 BOM JESUS DA LAPA";6;9;-;-;-;-;15
"290395 BOM JESUS DA SERRA";-;-;-;-;-;-;-
"290400 BONINAL";1;-;-;-;-;-;1
"290405 BONITO";-;-;-;-;-;-;-
"290410 BOQUIRA";-;-;-;-;-;-;-
"290420 BOTUPORA";1;-;-;-;-;-;1
"290430 BREJOES";-;-;-;-;-;-;-
"290440 BREJOLANDIA";-;-;-;-;-;1;1
"290450 BROTAS DE MACAUBAS";1;-;-;-;-;-;1
"290460 BRUMADO";15;-;-;-;-;-;15
"290470 BUERAREMA";-;-;1;-;-;-;1
"290475 BURITIRAMA";-;-;-;-;-;-;-
"290480 CAATIBA";1;-;-;-;-;-;1
"290485 CABACEIRAS DO PARAGUACU";-;-;-;-;-;-;-
"290490 CACHOEIRA";-;-;-;-;-;-;-
"290500 CACULE";3;-;-;-;-;-;3
"290510 CAEM";-;-;-;-;-;-;-
"290515 CAETANOS";-;1;-;-;-;-;1
"290520 CAETITE";6;1;1;-;-;-;8
"290530 CAFARNAUM";-;-;-;-;-;-;-
"290540 CAIRU";-;-;-;-;-;-;-
"290550 CALDEIRAO GRANDE";1;-;-;-;-;-;1
"290560 CAMACAN";5;-;1;-;-;-;6
"290570 CAMACARI";20;3;-;-;-;-;23
"290580 CAMAMU";2;-;2;-;-;-;4
"290590 CAMPO ALEGRE DE LOURDES";6;-;1;-;-;-;7
"290600 CAMPO FORMOSO";13;1;-;-;-;-;14
"290610 CANAPOLIS";2;-;-;-;-;-;2
"290620 CANARANA";-;-;-;-;-;-;-
"290630 CANAVIEIRAS";-;-;-;-;-;-;-
"290640 CANDEAL";-;-;-;-;-;-;-
"290650 CANDEIAS";6;1;-;-;-;-;7
"290660 CANDIBA";-;-;-;-;-;-;-
"290670 CANDIDO SALES";1;-;1;-;-;-;2
"290680 CANSANCAO";1;-;-;-;-;-;1
"290682 CANUDOS";-;-;1;-;-;-;1
"290685 CAPELA DO ALTO ALEGRE";-;-;-;-;-;-;-
"290687 CAPIM GROSSO";1;1;-;-;-;-;2
"290689 CARAIBAS";-;-;-;-;-;-;-
"290690 CARAVELAS";1;-;-;-;-;-;1
"290700 CARDEAL DA SILVA";-;-;-;-;-;-;-
"290710 CARINHANHA";5;-;-;-;-;-;5
"290720 CASA NOVA";4;-;-;-;-;-;4
"290730 CASTRO ALVES";2;-;1;-;-;-;3
"290740 CATOLANDIA";-;-;-;-;-;-;-
"290750 CATU";3;-;-;-;-;-;3
"290755 CATURAMA";-;-;-;-;-;-;-
"290760 CENTRAL";-;-;-;-;-;-;-
"290770 CHORROCHO";-;-;-;1;-;-;1
"290780 CICERO DANTAS";1;-;-;-;-;-;1
"290790 CIPO";2;-;-;-;-;-;2
"290800 COARACI";-;-;-;-;-;-;-
"290810 COCOS";1;-;1;-;-;-;2
"290820 CONCEICAO DA FEIRA";-;-;1;-;-;-;1
"290830 CONCEICAO DO ALMEIDA";2;-;1;-;-;-;3
"290840 CONCEICAO DO COITE";3;1;-;1;-;-;5
"290850 CONCEICAO DO JACUIPE";1;-;-;-;-;-;1
"290860 CONDE";-;-;-;-;-;-;-
"290870 CONDEUBA";-;-;-;-;-;-;-
"290880 CONTENDAS DO SINCORA";-;-;-;-;-;-;-
"290890 CORACAO DE MARIA";-;-;-;-;-;-;-
"290900 CORDEIROS";-;-;-;-;-;-;-
"290910 CORIBE";1;-;-;-;-;-;1
"290920 CORONEL JOAO SA";-;-;-;-;-;-;-
"290930 CORRENTINA";4;-;-;-;-;-;4
"290940 COTEGIPE";-;-;-;-;-;-;-
"290950 CRAVOLANDIA";-;-;-;1;-;-;1
"290960 CRISOPOLIS";1;-;-;-;-;-;1
"290970 CRISTOPOLIS";-;-;-;-;-;-;-
"290980 CRUZ DAS ALMAS";5;-;-;-;-;-;5
"290990 CURACA";2;-;-;-;1;-;3
"291000 DARIO MEIRA";-;-;-;-;-;-;-
"291005 DIAS D'AVILA";3;-;2;-;-;-;5
"291010 DOM BASILIO";-;-;-;-;-;-;-
"291020 DOM MACEDO COSTA";-;-;-;-;-;-;-
"291030 ELISIO MEDRADO";-;-;-;-;-;-;-
"291040 ENCRUZILHADA";1;-;1;-;-;-;2
"291050 ENTRE RIOS";3;1;1;-;-;-;5
"291060 ESPLANADA";2;-;-;-;-;-;2
"291070 EUCLIDES DA CUNHA";4;-;-;-;-;-;4
"291072 EUNAPOLIS";27;-;-;1;-;-;28
"291075 FATIMA";1;-;1;-;-;-;2
"291077 FEIRA DA MATA";-;-;-;-;-;-;-
"291080 FEIRA DE SANTANA";275;2;1;-;1;-;279
"291085 FILADELFIA";1;-;-;-;-;-;1
