 Nascidos vivos - Bahia
Nascim p/resid.mãe por Município
Período:2018-2022
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - BA";10
"290010 ABAIRA";248
"290020 ABARE";1488
"290030 ACAJUTIBA";849
"290035 ADUSTINA";794
"290040 AGUA FRIA";694
"290050 ERICO CARDOSO";560
"290060 AIQUARA";244
"290070 ALAGOINHAS";10535
"290080 ALCOBACA";1643
"290090 ALMADINA";261
"290100 AMARGOSA";2246
"290110 AMELIA RODRIGUES";873
"290115 AMERICA DOURADA";1038
"290120 ANAGE";1099
"290130 ANDARAI";896
"290135 ANDORINHA";925
"290140 ANGICAL";937
"290150 ANGUERA";274
"290160 ANTAS";731
"290170 ANTONIO CARDOSO";585
"290180 ANTONIO GONCALVES";720
"290190 APORA";877
"290195 APUAREMA";485
"290200 ARACATU";836
"290205 ARACAS";725
"290210 ARACI";3300
"290220 ARAMARI";536
"290225 ARATACA";541
"290230 ARATUIPE";632
"290240 AURELINO LEAL";917
"290250 BAIANOPOLIS";783
"290260 BAIXA GRANDE";967
"290265 BANZAE";796
"290270 BARRA";4428
"290280 BARRA DA ESTIVA";1961
"290290 BARRA DO CHOCA";2440
"290300 BARRA DO MENDES";842
"290310 BARRA DO ROCHA";330
"290320 BARREIRAS";12871
"290323 BARRO ALTO";788
"290327 BARROCAS";984
"290330 BARRO PRETO";361
"290340 BELMONTE";1452
"290350 BELO CAMPO";1147
"290360 BIRITINGA";1011
"290370 BOA NOVA";878
"290380 BOA VISTA DO TUPIM";1063
"290390 BOM JESUS DA LAPA";5447
"290395 BOM JESUS DA SERRA";578
"290400 BONINAL";868
"290405 BONITO";1194
"290410 BOQUIRA";1298
"290420 BOTUPORA";669
"290430 BREJOES";743
"290440 BREJOLANDIA";485
"290450 BROTAS DE MACAUBAS";639
"290460 BRUMADO";4384
"290470 BUERAREMA";1088
"290475 BURITIRAMA";1581
"290480 CAATIBA";339
"290485 CABACEIRAS DO PARAGUACU";1137
"290490 CACHOEIRA";1773
"290500 CACULE";1485
"290510 CAEM";663
"290515 CAETANOS";601
"290520 CAETITE";3326
"290530 CAFARNAUM";1432
"290540 CAIRU";1483
"290550 CALDEIRAO GRANDE";942
"290560 CAMACAN";1785
"290570 CAMACARI";20286
"290580 CAMAMU";2751
"290590 CAMPO ALEGRE DE LOURDES";2548
"290600 CAMPO FORMOSO";5693
"290610 CANAPOLIS";638
"290620 CANARANA";1702
"290630 CANAVIEIRAS";2187
"290640 CANDEAL";375
"290650 CANDEIAS";4874
"290660 CANDIBA";749
"290670 CANDIDO SALES";1548
"290680 CANSANCAO";2324
"290682 CANUDOS";1064
"290685 CAPELA DO ALTO ALEGRE";547
"290687 CAPIM GROSSO";2280
"290689 CARAIBAS";465
"290690 CARAVELAS";1354
"290700 CARDEAL DA SILVA";592
"290710 CARINHANHA";2213
"290720 CASA NOVA";5110
"290730 CASTRO ALVES";1538
"290740 CATOLANDIA";234
"290750 CATU";2462
"290755 CATURAMA";437
"290760 CENTRAL";1077
"290770 CHORROCHO";758
"290780 CICERO DANTAS";1574
"290790 CIPO";1378
"290800 COARACI";1089
"290810 COCOS";1301
"290820 CONCEICAO DA FEIRA";1161
"290830 CONCEICAO DO ALMEIDA";821
"290840 CONCEICAO DO COITE";4887
"290850 CONCEICAO DO JACUIPE";1663
"290860 CONDE";1654
"290870 CONDEUBA";938
"290880 CONTENDAS DO SINCORA";210
"290890 CORACAO DE MARIA";1161
"290900 CORDEIROS";394
"290910 CORIBE";835
"290920 CORONEL JOAO SA";959
"290930 CORRENTINA";2192
"290940 COTEGIPE";868
"290950 CRAVOLANDIA";291
"290960 CRISOPOLIS";1184
"290970 CRISTOPOLIS";844
"290980 CRUZ DAS ALMAS";3707
"290990 CURACA";2756
"291000 DARIO MEIRA";705
"291005 DIAS D'AVILA";5099
"291010 DOM BASILIO";641
"291020 DOM MACEDO COSTA";240
"291030 ELISIO MEDRADO";393
"291040 ENCRUZILHADA";1296
"291050 ENTRE RIOS";2543
"291060 ESPLANADA";2390
"291070 EUCLIDES DA CUNHA";3987
"291072 EUNAPOLIS";9049
"291075 FATIMA";1006
"291077 FEIRA DA MATA";260
"291080 FEIRA DE SANTANA";47666
"291085 FILADELFIA";1247
"291090 FIRMINO ALVES";230
"291100 FLORESTA AZUL";410
"291110 FORMOSA DO RIO PRETO";2180
"291120 GANDU";2182
"291125 GAVIAO";201
"291130 GENTIO DO OURO";596
"291140 GLORIA";1184
"291150 GONGOGI";353
"291160 GOVERNADOR MANGABEIRA";1335
"291165 GUAJERU";365
"291170 GUANAMBI";6250
"291180 GUARATINGA";1083
"291185 HELIOPOLIS";635
"291190 IACU";1803
"291200 IBIASSUCE";488
"291210 IBICARAI";1185
"291220 IBICOARA";1550
"291230 IBICUI";654
"291240 IBIPEBA";963
"291250 IBIPITANGA";686
"291260 IBIQUERA";245
"291270 IBIRAPITANGA";1574
"291280 IBIRAPUA";595
"291290 IBIRATAIA";1389
"291300 IBITIARA";698
"291310 IBITITA";1023
"291320 IBOTIRAMA";1994
"291330 ICHU";233
"291340 IGAPORA";769
"291345 IGRAPIUNA";889
"291350 IGUAI";1777
"291360 ILHEUS";11340
"291370 INHAMBUPE";2085
"291380 IPECAETA";675
"291390 IPIAU";3089
"291400 IPIRA";3591
"291410 IPUPIARA";453
"291420 IRAJUBA";357
"291430 IRAMAIA";489
"291440 IRAQUARA";1879
"291450 IRARA";1382
"291460 IRECE";6249
"291465 ITABELA";2526
"291470 ITABERABA";4399
"291480 ITABUNA";12533
"291490 ITACARE";1910
"291500 ITAETE";1001
"291510 ITAGI";891
"291520 ITAGIBA";851
