 Nascidos vivos - Bahia
Nascim p/resid.mãe por Município
Período:2022
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - BA";3
"290010 ABAIRA";54
"290020 ABARE";279
"290030 ACAJUTIBA";156
"290035 ADUSTINA";146
"290040 AGUA FRIA";145
"290050 ERICO CARDOSO";118
"290060 AIQUARA";55
"290070 ALAGOINHAS";1876
"290080 ALCOBACA";325
"290090 ALMADINA";43
"290100 AMARGOSA";434
"290110 AMELIA RODRIGUES";164
"290115 AMERICA DOURADA";202
"290120 ANAGE";193
"290130 ANDARAI";152
"290135 ANDORINHA";167
"290140 ANGICAL";188
"290150 ANGUERA";49
"290160 ANTAS";137
"290170 ANTONIO CARDOSO";112
"290180 ANTONIO GONCALVES";96
"290190 APORA";177
"290195 APUAREMA";72
"290200 ARACATU";171
"290205 ARACAS";116
"290210 ARACI";644
"290220 ARAMARI";88
"290225 ARATACA";77
"290230 ARATUIPE";111
"290240 AURELINO LEAL";177
"290250 BAIANOPOLIS";158
"290260 BAIXA GRANDE";146
"290265 BANZAE";119
"290270 BARRA";815
"290280 BARRA DA ESTIVA";359
"290290 BARRA DO CHOCA";446
"290300 BARRA DO MENDES";170
"290310 BARRA DO ROCHA";57
"290320 BARREIRAS";2393
"290323 BARRO ALTO";141
"290327 BARROCAS";199
"290330 BARRO PRETO";58
"290340 BELMONTE";227
"290350 BELO CAMPO";243
"290360 BIRITINGA";179
"290370 BOA NOVA";139
"290380 BOA VISTA DO TUPIM";186
"290390 BOM JESUS DA LAPA";967
"290395 BOM JESUS DA SERRA";102
"290400 BONINAL";138
"290405 BONITO";215
"290410 BOQUIRA";221
"290420 BOTUPORA";128
"290430 BREJOES";131
"290440 BREJOLANDIA";90
"290450 BROTAS DE MACAUBAS";109
"290460 BRUMADO";893
"290470 BUERAREMA";201
"290475 BURITIRAMA";268
"290480 CAATIBA";57
"290485 CABACEIRAS DO PARAGUACU";215
"290490 CACHOEIRA";331
"290500 CACULE";277
"290510 CAEM";105
"290515 CAETANOS";121
"290520 CAETITE";634
"290530 CAFARNAUM";271
"290540 CAIRU";275
"290550 CALDEIRAO GRANDE";134
"290560 CAMACAN";318
"290570 CAMACARI";3848
"290580 CAMAMU";484
"290590 CAMPO ALEGRE DE LOURDES";472
"290600 CAMPO FORMOSO";1040
"290610 CANAPOLIS";127
"290620 CANARANA";328
"290630 CANAVIEIRAS";376
"290640 CANDEAL";93
"290650 CANDEIAS";858
"290660 CANDIBA";142
"290670 CANDIDO SALES";304
"290680 CANSANCAO";450
"290682 CANUDOS";177
"290685 CAPELA DO ALTO ALEGRE";110
"290687 CAPIM GROSSO";418
"290689 CARAIBAS";93
"290690 CARAVELAS";252
"290700 CARDEAL DA SILVA";112
"290710 CARINHANHA";428
"290720 CASA NOVA";972
"290730 CASTRO ALVES";292
"290740 CATOLANDIA";52
"290750 CATU";432
"290755 CATURAMA";80
"290760 CENTRAL";187
"290770 CHORROCHO";125
"290780 CICERO DANTAS";289
"290790 CIPO";238
"290800 COARACI";186
"290810 COCOS";247
"290820 CONCEICAO DA FEIRA";208
"290830 CONCEICAO DO ALMEIDA";160
"290840 CONCEICAO DO COITE";840
"290850 CONCEICAO DO JACUIPE";357
"290860 CONDE";296
"290870 CONDEUBA";170
"290880 CONTENDAS DO SINCORA";42
"290890 CORACAO DE MARIA";225
"290900 CORDEIROS";82
"290910 CORIBE";144
"290920 CORONEL JOAO SA";168
"290930 CORRENTINA";471
"290940 COTEGIPE";162
"290950 CRAVOLANDIA";46
"290960 CRISOPOLIS";237
"290970 CRISTOPOLIS";151
"290980 CRUZ DAS ALMAS";705
"290990 CURACA";511
"291000 DARIO MEIRA";125
"291005 DIAS D'AVILA";894
"291010 DOM BASILIO";107
"291020 DOM MACEDO COSTA";46
"291030 ELISIO MEDRADO";70
