 Nascidos vivos - Bahia
Nascim p/ocorrênc por Município e Local ocorrência
Período:2022
"Município";"Hospital";"Outro Estabelecimento de Saúde";"Domicílio";"Outro";"Ignorado";"Total"
" MUNICIPIO IGNORADO - BA";-;-;-;-;-;-
"290010 ABAIRA";4;-;-;-;-;4
"290020 ABARE";88;-;-;-;-;88
"290030 ACAJUTIBA";1;3;2;-;-;6
"290035 ADUSTINA";8;2;-;1;-;11
"290040 AGUA FRIA";65;-;1;1;-;67
"290050 ERICO CARDOSO";1;-;-;-;-;1
"290060 AIQUARA";-;-;-;-;-;-
"290070 ALAGOINHAS";2300;6;20;6;-;2332
"290080 ALCOBACA";67;-;2;-;-;69
"290090 ALMADINA";-;-;-;-;-;-
"290100 AMARGOSA";190;-;1;1;-;192
"290110 AMELIA RODRIGUES";9;-;1;-;-;10
"290115 AMERICA DOURADA";93;-;1;-;-;94
"290120 ANAGE";10;-;3;1;-;14
"290130 ANDARAI";74;-;-;1;-;75
"290135 ANDORINHA";-;19;-;2;-;21
"290140 ANGICAL";11;-;-;-;-;11
"290150 ANGUERA";9;-;-;-;-;9
"290160 ANTAS";1210;-;2;3;-;1215
"290170 ANTONIO CARDOSO";-;-;-;1;-;1
"290180 ANTONIO GONCALVES";-;-;2;-;-;2
"290190 APORA";-;11;-;1;-;12
"290195 APUAREMA";-;-;-;2;-;2
"290200 ARACATU";27;-;1;-;-;28
"290205 ARACAS";2;-;-;1;-;3
"290210 ARACI";323;-;5;5;-;333
"290220 ARAMARI";-;-;-;-;-;-
"290225 ARATACA";-;-;-;-;-;-
"290230 ARATUIPE";-;-;-;-;-;-
"290240 AURELINO LEAL";63;1;1;-;-;65
"290250 BAIANOPOLIS";19;-;-;1;-;20
"290260 BAIXA GRANDE";67;-;-;-;-;67
"290265 BANZAE";2;13;1;2;-;18
"290270 BARRA";994;-;13;5;-;1012
"290280 BARRA DA ESTIVA";563;2;3;2;-;570
"290290 BARRA DO CHOCA";98;-;3;1;-;102
"290300 BARRA DO MENDES";75;-;1;-;-;76
"290310 BARRA DO ROCHA";-;-;1;-;-;1
"290320 BARREIRAS";4274;3;8;13;-;4298
"290323 BARRO ALTO";-;52;-;-;-;52
"290327 BARROCAS";62;-;-;-;-;62
"290330 BARRO PRETO";3;-;-;-;-;3
"290340 BELMONTE";82;1;3;2;-;88
"290350 BELO CAMPO";43;-;-;1;-;44
"290360 BIRITINGA";61;-;2;-;-;63
"290370 BOA NOVA";3;-;-;2;-;5
"290380 BOA VISTA DO TUPIM";71;-;-;1;-;72
"290390 BOM JESUS DA LAPA";-;1444;-;-;-;1444
"290395 BOM JESUS DA SERRA";59;-;2;-;-;61
"290400 BONINAL";13;-;-;-;-;13
"290405 BONITO";-;95;-;-;-;95
"290410 BOQUIRA";229;-;1;-;-;230
"290420 BOTUPORA";14;-;-;-;-;14
"290430 BREJOES";64;-;-;-;-;64
"290440 BREJOLANDIA";24;-;1;-;-;25
"290450 BROTAS DE MACAUBAS";49;-;-;-;-;49
"290460 BRUMADO";865;370;3;-;-;1238
"290470 BUERAREMA";-;-;-;-;-;-
"290475 BURITIRAMA";81;-;-;-;-;81
"290480 CAATIBA";22;-;-;-;-;22
"290485 CABACEIRAS DO PARAGUACU";-;-;1;-;-;1
"290490 CACHOEIRA";112;-;3;1;-;116
"290500 CACULE";336;-;1;1;1;339
"290510 CAEM";79;-;-;-;-;79
"290515 CAETANOS";1;2;-;1;-;4
"290520 CAETITE";595;-;-;1;-;596
"290530 CAFARNAUM";171;-;1;1;-;173
"290540 CAIRU";-;15;1;-;-;16
"290550 CALDEIRAO GRANDE";77;-;-;2;-;79
"290560 CAMACAN";403;1;3;4;-;411
"290570 CAMACARI";2426;23;28;12;-;2489
"290580 CAMAMU";292;-;5;-;-;297
"290590 CAMPO ALEGRE DE LOURDES";413;-;4;-;-;417
"290600 CAMPO FORMOSO";1213;-;12;3;-;1228
"290610 CANAPOLIS";111;-;1;-;-;112
"290620 CANARANA";137;-;2;1;-;140
"290630 CANAVIEIRAS";148;23;5;-;-;176
"290640 CANDEAL";1;-;2;-;-;3
"290650 CANDEIAS";402;-;1;4;-;407
"290660 CANDIBA";109;-;-;-;-;109
"290670 CANDIDO SALES";94;-;2;2;-;98
"290680 CANSANCAO";294;1;1;-;-;296
"290682 CANUDOS";91;1;1;1;-;94
"290685 CAPELA DO ALTO ALEGRE";-;-;-;-;-;-
"290687 CAPIM GROSSO";427;39;1;-;-;467
"290689 CARAIBAS";1;2;1;-;-;4
"290690 CARAVELAS";101;-;4;-;-;105
"290700 CARDEAL DA SILVA";-;16;1;1;-;18
"290710 CARINHANHA";227;-;1;1;-;229
"290720 CASA NOVA";314;-;-;1;-;315
"290730 CASTRO ALVES";245;-;-;-;-;245
"290740 CATOLANDIA";-;-;-;-;-;-
"290750 CATU";247;139;2;-;-;388
"290755 CATURAMA";9;-;1;-;-;10
"290760 CENTRAL";98;-;-;1;-;99
"290770 CHORROCHO";-;38;-;-;-;38
"290780 CICERO DANTAS";34;-;3;1;-;38
"290790 CIPO";63;-;1;1;-;65
"290800 COARACI";22;-;-;2;-;24
"290810 COCOS";200;-;-;-;-;200
"290820 CONCEICAO DA FEIRA";9;-;1;-;-;10
"290830 CONCEICAO DO ALMEIDA";27;-;-;-;-;27
"290840 CONCEICAO DO COITE";826;334;-;-;-;1160
"290850 CONCEICAO DO JACUIPE";33;-;2;1;-;36
"290860 CONDE";43;-;3;2;-;48
"290870 CONDEUBA";45;-;-;2;-;47
"290880 CONTENDAS DO SINCORA";-;5;-;-;-;5
"290890 CORACAO DE MARIA";5;-;5;-;-;10
"290900 CORDEIROS";22;-;-;-;-;22
"290910 CORIBE";213;-;-;-;-;213
"290920 CORONEL JOAO SA";-;4;-;1;1;6
"290930 CORRENTINA";394;1;-;-;1;396
"290940 COTEGIPE";-;18;-;-;-;18
"290950 CRAVOLANDIA";18;1;-;-;-;19
"290960 CRISOPOLIS";103;-;2;-;-;105
"290970 CRISTOPOLIS";9;-;-;2;-;11
"290980 CRUZ DAS ALMAS";1333;2;-;1;-;1336
"290990 CURACA";132;-;1;3;-;136
"291000 DARIO MEIRA";-;1;2;1;-;4
"291005 DIAS D'AVILA";700;-;8;-;-;708
"291010 DOM BASILIO";24;-;1;-;-;25
"291020 DOM MACEDO COSTA";-;-;-;-;-;-
"291030 ELISIO MEDRADO";18;-;-;-;-;18
"291040 ENCRUZILHADA";107;-;3;1;-;111
"291050 ENTRE RIOS";171;2;1;3;-;177
"291060 ESPLANADA";480;1;7;11;-;499
"291070 EUCLIDES DA CUNHA";793;-;4;2;-;799
"291072 EUNAPOLIS";1954;-;10;3;1;1968
"291075 FATIMA";11;-;-;-;-;11
"291077 FEIRA DA MATA";-;-;-;2;-;2
"291080 FEIRA DE SANTANA";12913;12;33;30;-;12988
"291085 FILADELFIA";149;-;2;-;-;151
"291090 FIRMINO ALVES";-;-;-;-;-;-
"291100 FLORESTA AZUL";-;-;-;-;-;-
"291110 FORMOSA DO RIO PRETO";262;-;1;2;-;265
"291120 GANDU";372;-;-;1;-;373
"291125 GAVIAO";-;-;-;-;-;-
"291130 GENTIO DO OURO";43;-;-;-;-;43
"291140 GLORIA";-;-;-;-;-;-
"291150 GONGOGI";22;-;-;-;-;22
"291160 GOVERNADOR MANGABEIRA";1;-;-;-;-;1
"291165 GUAJERU";-;11;-;-;-;11
"291170 GUANAMBI";2216;3;3;8;-;2230
"291180 GUARATINGA";85;-;1;1;-;87
"291185 HELIOPOLIS";-;7;-;1;-;8
"291190 IACU";242;-;-;-;-;242
"291200 IBIASSUCE";258;-;-;-;-;258
"291210 IBICARAI";19;-;-;-;-;19
"291220 IBICOARA";-;-;5;-;-;5
"291230 IBICUI";57;-;-;1;-;58
"291240 IBIPEBA";194;-;-;-;-;194
"291250 IBIPITANGA";22;-;-;-;-;22
"291260 IBIQUERA";2;-;-;-;-;2
"291270 IBIRAPITANGA";173;-;1;-;-;174
"291280 IBIRAPUA";31;-;1;-;-;32
"291290 IBIRATAIA";70;-;1;1;-;72
"291300 IBITIARA";66;-;-;1;-;67
"291310 IBITITA";147;2;-;-;-;149
"291320 IBOTIRAMA";821;2;2;5;-;830
"291330 ICHU";5;-;-;-;-;5
"291340 IGAPORA";110;-;-;1;-;111
"291345 IGRAPIUNA";71;-;-;-;-;71
"291350 IGUAI";259;-;-;-;-;259
"291360 ILHEUS";3184;3;25;25;-;3237
"291370 INHAMBUPE";164;-;-;2;-;166
"291380 IPECAETA";15;-;1;-;-;16
"291390 IPIAU";1100;2;1;1;-;1104
"291400 IPIRA";521;-;-;2;-;523
"291410 IPUPIARA";2;-;-;-;-;2
"291420 IRAJUBA";23;-;-;1;-;24
"291430 IRAMAIA";18;-;-;-;-;18
"291440 IRAQUARA";621;-;-;-;-;621
"291450 IRARA";82;-;1;-;-;83
"291460 IRECE";2810;118;5;6;-;2939
"291465 ITABELA";311;-;7;3;-;321
"291470 ITABERABA";1522;-;-;7;-;1529
"291480 ITABUNA";4396;1;15;21;2;4435
"291490 ITACARE";75;1;10;2;-;88
"291500 ITAETE";89;-;2;2;-;93
"291510 ITAGI";7;-;2;1;-;10
"291520 ITAGIBA";-;-;-;1;-;1
"291530 ITAGIMIRIM";19;-;1;-;-;20
"291535 ITAGUACU DA BAHIA";74;-;1;2;-;77
"291540 ITAJU DO COLONIA";40;-;-;-;-;40
"291550 ITAJUIPE";52;-;2;-;-;54
"291560 ITAMARAJU";1074;1;5;3;-;1083
"291570 ITAMARI";-;1;1;1;-;3
"291580 ITAMBE";168;-;1;-;-;169
"291590 ITANAGRA";2;1;4;2;-;9
"291600 ITANHEM";83;-;-;-;-;83
"291610 ITAPARICA";730;-;-;1;-;731
"291620 ITAPE";-;-;-;-;-;-
"291630 ITAPEBI";21;-;-;1;-;22
"291640 ITAPETINGA";740;12;-;-;-;752
"291650 ITAPICURU";130;-;4;2;-;136
"291660 ITAPITANGA";19;-;-;-;-;19
"291670 ITAQUARA";13;-;-;-;-;13
"291680 ITARANTIM";84;-;-;-;-;84
"291685 ITATIM";52;-;-;-;-;52
"291690 ITIRUCU";19;-;-;-;-;19
"291700 ITIUBA";261;2;1;-;-;264
"291710 ITORORO";57;-;-;-;-;57
"291720 ITUACU";41;-;2;-;-;43
"291730 ITUBERA";146;-;2;1;-;149
"291733 IUIU";46;-;-;-;-;46
"291735 JABORANDI";170;-;-;-;-;170
"291740 JACARACI";110;-;-;-;-;110
"291750 JACOBINA";2062;6;2;2;-;2072
"291760 JAGUAQUARA";675;-;5;-;-;680
"291770 JAGUARARI";190;1;-;1;-;192
"291780 JAGUARIPE";-;-;1;-;-;1
"291790 JANDAIRA";-;-;1;-;-;1
"291800 JEQUIE";3852;3;14;20;-;3889
"291810 JEREMOABO";185;-;3;-;-;188
"291820 JIQUIRICA";20;1;2;-;-;23
"291830 JITAUNA";4;-;-;1;-;5
"291835 JOAO DOURADO";171;-;1;-;-;172
"291840 JUAZEIRO";4686;7;45;38;-;4776
"291845 JUCURUCU";20;-;1;-;-;21
"291850 JUSSARA";95;-;-;-;-;95
"291855 JUSSARI";17;-;-;-;-;17
"291860 JUSSIAPE";12;-;1;1;-;14
"291870 LAFAIETE COUTINHO";-;-;-;-;-;-
"291875 LAGOA REAL";2;4;-;-;-;6
"291880 LAJE";51;-;1;1;-;53
"291890 LAJEDAO";-;-;-;-;-;-
"291900 LAJEDINHO";-;3;-;-;-;3
"291905 LAJEDO DO TABOCAL";10;-;-;-;-;10
"291910 LAMARAO";-;-;2;-;-;2
"291915 LAPAO";152;-;-;1;-;153
"291920 LAURO DE FREITAS";306;-;10;1;-;317
"291930 LENCOIS";21;-;2;1;-;24
"291940 LICINIO DE ALMEIDA";99;-;-;-;-;99
"291950 LIVRAMENTO DE NOSSA SENHORA";438;273;-;2;-;713
"291955 LUIS EDUARDO MAGALHAES";2102;10;3;1;-;2116
"291960 MACAJUBA";39;-;1;-;-;40
"291970 MACARANI";53;5;-;-;-;58
"291980 MACAUBAS";396;5;1;-;-;402
"291990 MACURURE";4;21;1;-;-;26
"291992 MADRE DE DEUS";192;-;-;-;-;192
"291995 MAETINGA";-;6;1;-;-;7
"292000 MAIQUINIQUE";29;-;-;-;-;29
"292010 MAIRI";55;-;1;-;1;57
"292020 MALHADA";96;1;-;-;-;97
"292030 MALHADA DE PEDRAS";-;18;-;-;-;18
"292040 MANOEL VITORINO";-;-;1;3;-;4
"292045 MANSIDAO";-;1;-;-;-;1
"292050 MARACAS";99;-;1;-;-;100
"292060 MARAGOGIPE";32;6;1;-;-;39
"292070 MARAU";-;11;5;7;-;23
"292080 MARCIONILIO SOUZA";13;-;1;-;-;14
"292090 MASCOTE";-;-;2;2;-;4
"292100 MATA DE SAO JOAO";478;8;6;12;-;504
"292105 MATINA";36;-;-;-;-;36
"292110 MEDEIROS NETO";206;-;1;2;-;209
"292120 MIGUEL CALMON";221;-;1;-;-;222
"292130 MILAGRES";54;-;-;1;-;55
"292140 MIRANGABA";-;11;1;1;-;13
"292145 MIRANTE";-;8;1;-;-;9
"292150 MONTE SANTO";545;-;-;1;-;546
"292160 MORPARA";-;23;1;-;-;24
"292170 MORRO DO CHAPEU";287;-;1;-;-;288
"292180 MORTUGABA";76;-;-;-;-;76
"292190 MUCUGE";117;-;-;-;-;117
"292200 MUCURI";587;-;3;1;-;591
"292205 MULUNGU DO MORRO";116;-;-;-;-;116
"292210 MUNDO NOVO";74;-;1;2;-;77
