tabela_de_indicadores,nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_13,nan_14,nan_15,nan_18,nan_19,nan_20,nan_22,nan_25,nan_26,nan_30,nan_31,nan_32,nan_35,nan_48,nan_49,nan_54,nan_55,nan_58
MUNICÍPIOS,,,,,,,,ORGÃO RESPONSÁVEL PELA GESTÃO,,,,,,,,,,,TABELA IN02 - INDICADORES SOBRE COLETA DE RESÍDUOS SÓLIDOS,,,,,,,,"TABELA IN05 - INDICADORES SOBRE SERVIÇOS DE VARRIÇÃO, CAPINA E PODA",,,
Código do município,Código do IBGE,Município,UF,Nome da Região,Sigla da Regiao,Identificação da Faixa Populacional,Ano de referência,Nome do orgão responsável pela gestão,Sigla do orgão responsável pela gestão,Abrangência,Natureza jurídica do órgão municipal responsável,Tipo de serviço,Despesa por empregado,Incidência de despesas com RSU na prefeitura,Incidência de despesas com  empresas contratadas,incidência de  empregados próprios,Incidência de empreg. de empr. contrat. no total de empreg. no manejo ,Incidência de empreg. admin. no total de empreg no manejo,Tx cobertura da coleta RDO em relação à pop. total,Taxa de terceirização da coleta,Produtividades média de coletadores e motorista,Custo unitário da coleta,Incidência do custo da coleta no custo total do manejo,Incidência de emprega.da coleta no total de empregados no manejo,Massa [RDO+RPU] coletada per capita em relação à população total atendida ,Taxa de RSS sobre [RDO+RPU],Taxa de terceirização de varredores,Incidência do custo da varrição no custo total do manejo,Incidência de varredores no total de empregados no manejo,Relação de capinadores no total de empregados no manejo 
,,,,,,,,,,,,,R$/empregado,%,%,%,%,%,%,%,Kg/empregado  x dia,R$/tonelada,%,%,Kg/(hab.x dia),%,%,%,%,%
-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,IN002,IN003,IN004,IN007,IN008,IN010,IN015,IN017,IN018,IN023,IN024,IN025,IN028,IN037,IN041,IN046,IN047,IN052
520005,5200050,Abadia de Goiás,GO,Centro-Oeste,CO,1,2022,Secretaria de Obras,SEMOBI,Local,Administração pública direta,Res. Sólidos ,36404.65,2.4,,100,0,,80.44,0,,,,,0.64,0.03,,,,
310010,3100104,Abadia dos Dourados,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Abadia Dos Dourados,PMAD,Local,Administração pública direta,Res. Sólidos ,17491.58,2.84,,100,0,,93.27,24.03,,,,,0.18,,,,,
520010,5200100,Abadiânia,GO,Centro-Oeste,CO,1,2022,SECRETARIA MUNICIPAL DE MEIO AMBIENTE E Desenvolvimento Sustentável,SEMADS,Local,Administração pública direta,Res. Sólidos ,36222.22,1.38,50.92,33.33,66.67,7.41,58.03,0,3450.48,37.04,40.9,37.04,2.96,0.24,100,18.4,22.22,22.22
310020,3100203,Abaeté,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Abaeté,PMA,Local,Administração pública direta,Res. Sólidos ,35758.05,7.04,0,100,0,3.25,86.14,0.13,2102.77,237.62,42.67,9.76,1.11,,0,33.68,24.39,9.76
150010,1500107,Abaetetuba,PA,Norte,N ,3,2022,SECRETARIA MUNICIPAL DE OBRAS E VIAÇÃO DE ABAETETUBA,SEMOB,Local,Administração pública direta,Res. Sólidos ,82300.78,1.22,85.71,52.7,47.3,6.76,74.04,100,3505.59,141.31,81.47,43.24,0.82,0.15,0,8.16,24.32,20.27
230010,2300101,Abaiara,CE,Nordeste,NE,1,2022,Prefeitura Municipal de Abaiara,PMA,Local,Administração pública direta,Res. Sólidos ,22355.63,2.45,,35.56,64.44,2.22,41.78,100,281.55,,,17.78,0.46,0.14,41.18,,37.78,17.78
290010,2900108,Abaíra,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Abaíra,PMA,Local,Administração pública direta,Res. Sólidos ,14400,8.94,,100,0,,44.86,0,,,,,0.77,,,,,
410010,4100103,Abatiá,PR,Sul,S ,1,2022,PREFEITURA ABATIÁ,PMA,Local,Administração pública direta,Res. Sólidos ,36558.68,3.25,24.8,100,0,,74.58,25.24,,162.86,60.16,,1.51,,,15.04,,
420005,4200051,Abdon Batista,SC,Sul,S ,1,2022,SECRETARIA DE URBANISMO,SURB,Local,Administração pública direta,Res. Sólidos ,18776.67,0.47,100,66.67,33.33,0,49.04,100,,431.97,88.76,,0.5,1.38,,0,,
420010,4200101,Abelardo Luz,SC,Sul,S ,1,2022,Prefeitura Municipal de Abelardo Luz,pmabl,Local,Administração pública direta,Res. Sólidos ,28643.39,0.97,0,24.14,75.86,6.9,55.96,99.56,2406.82,174.79,95.11,20.69,1.27,0.04,,0,0,20.69
150013,1500131,Abel Figueiredo,PA,Norte,N ,1,2022,"SECRETARIA MUNICIPAL DE OBRAS, TRANSPORTE E URBANISMO",SMOTU,Local,Administração pública direta,Res. Sólidos ,45800,1.49,100,0,100,,87.04,100,,91.6,100,,2.24,,,0,,
310030,3100302,Abre Campo,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE ABRE CAMPO,PMAC,Local,Administração pública direta,Res. Sólidos ,28187.02,2.19,0,100,0,,93.34,0,,135.55,15.68,,0.32,0.09,,57.87,,
260005,2600054,Abreu e Lima,PE,Nordeste,NE,2,2022,Prefeitura Municipal de Abreu e Lima,PMAL,Local,Administração pública direta,Res. Sólidos ,38293.24,4.31,100,1.23,98.77,3.7,100,100,3876.05,48.44,30.31,19.75,1.08,0.02,100,49.18,39.51,37.04
170025,1700251,Abreulândia,TO,Norte,N ,1,2022,Prefeitura Municipal de Abreulândia,PMA,Local,Administração pública direta,Res. Sólidos ,24320.15,3.97,3.45,100,0,10,59.01,0,287.54,370.37,20.56,15,0.49,,0,75.99,55,20
310040,3100401,Acaiaca,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Acaiaca,PMA,Local,Administração pública direta,Res. Sólidos ,,1.23,,,,,100,75.58,412.14,,,25,0.36,,0,,25,37.5
210005,2100055,Açailândia,MA,Nordeste,NE,3,2022,Prefeitura Municipal de Açailândia,PMA,Local,Administração pública direta,Res. Sólidos ,17507.05,0.99,34.62,67.29,32.71,2.63,100,2.25,1444.24,50.19,82.83,63.91,1.98,0.06,0,12.25,13.53,13.53
290030,2900306,Acajutiba,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Acajutiba,PMA,Local,Empresa pública,Res. Sólidos ,,1.31,97.48,,,,90.76,97.52,,43.36,62.37,,2.65,1.65,,33.32,,
150020,1500206,Acará,PA,Norte,N ,2,2022,Prefeitura Municipal Acará,PMA,Local,Administração pública direta,Res. Sólidos ,10690.77,0.36,0,87.95,12.05,3.61,33.52,0,2002.13,29.64,25.12,14.46,1.04,0.6,0,39.28,24.1,30.12
230015,2300150,Acarape,CE,Nordeste,NE,1,2022,Prefeitura Municipal de Acarape,PMA,Local,Administração pública direta,Res. Sólidos ,23143.26,2.67,,100,0,13.04,50.28,0,2085.81,,,10.14,1.78,,0,,14.49,13.04
