co_anomes,co_uf,sg_uf,no_uf,co_regiao_brasil,no_regiao_brasil,sg_regiao_brasil,vl_indicador_calculado_uf,vl_indicador_calculado_reg,vl_indicador_calculado_br,dt_competencia,dt_atualizacao,ds_unidade_medida,sg_granularidade,ds_granularidade,sg_categoria,ds_categoria
201612,14.0,RR,Roraima,1.0,Norte,N ,14.26,22.15,10.51,2016-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201612,25.0,PB,Paraíba,2.0,Nordeste,NE,18.33,21.09,10.51,2016-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201612,35.0,SP,São Paulo,3.0,Sudeste,SE,1.02,3.58,10.51,2016-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201712,53.0,DF,Distrito Federal,5.0,Centro-Oeste,CO,2.65,7.39,10.0,2017-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201712,11.0,RO,Rondônia,1.0,Norte,N ,21.93,21.04,10.0,2017-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201712,22.0,PI,Piauí,2.0,Nordeste,NE,31.43,19.84,10.0,2017-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201812,50.0,MS,Mato Grosso do Sul,5.0,Centro-Oeste,CO,7.57,7.08,9.72,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201912,15.0,PA,Pará,1.0,Norte,N ,24.62,21.62,9.45,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201912,26.0,PE,Pernambuco,2.0,Nordeste,NE,15.63,18.48,9.45,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201912,41.0,PR,Paraná,4.0,Sul,S ,6.22,5.24,9.45,2019-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
201812,16.0,AP,Amapá,1.0,Norte,N ,6.23,21.59,9.72,2018-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202012,32.0,ES,Espírito Santo,3.0,Sudeste,SE,0.0,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202012,52.0,GO,Goiás,5.0,Centro-Oeste,CO,0.0,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202112,17.0,TO,Tocantins,1.0,Norte,N ,0.0,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202112,43.0,RS,Rio Grande do Sul,4.0,Sul,S ,0.0,0.0,0.0,2021-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202212,14.0,RR,Roraima,1.0,Norte,N ,9.84,18.87,8.42,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202212,25.0,PB,Paraíba,2.0,Nordeste,NE,18.4,16.4,8.42,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202212,35.0,SP,São Paulo,3.0,Sudeste,SE,0.91,2.82,8.42,2022-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202312,11.0,RO,Rondônia,1.0,Norte,N ,18.77,17.96,8.04,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202312,22.0,PI,Piauí,2.0,Nordeste,NE,25.42,16.21,8.04,2023-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
202012,21.0,MA,Maranhão,2.0,Nordeste,NE,0.0,0.0,0.0,2020-12-01 12:00:00,2025-10-15 21:09:26,Percentual,CP,Capitais de UF e Distrito Federal,TC,Todas as categorias
