"co_anomes","co_uf","sg_uf","no_uf","co_regiao_brasil","no_regiao_brasil","sg_regiao_brasil","vl_indicador_calculado_uf","vl_indicador_calculado_reg","vl_indicador_calculado_br","dt_competencia","dt_atualizacao","ds_unidade_medida","sg_granularidade","ds_granularidade","sg_categoria","ds_categoria"
201612,13.0,"AM","Amazonas",1.0,"Norte","N ",65.18,77.54,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,24.0,"RN","Rio Grande do Norte",2.0,"Nordeste","NE",72.6,45.73,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,33.0,"RJ","Rio de Janeiro",3.0,"Sudeste","SE",10.57,6.32,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,53.0,"DF","Distrito Federal",5.0,"Centro-Oeste","CO",10.15,41.88,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201712,21.0,"MA","Maranhão",2.0,"Nordeste","NE",74.32,44.97,26.68,"2017-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201712,29.0,"BA","Bahia",2.0,"Nordeste","NE",30.86,44.97,26.68,"2017-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201712,50.0,"MS","Mato Grosso do Sul",5.0,"Centro-Oeste","CO",55.15,43.9,26.68,"2017-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,16.0,"AP","Amapá",1.0,"Norte","N ",91.39,77.54,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,27.0,"AL","Alagoas",2.0,"Nordeste","NE",60.18,45.73,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,21.0,"MA","Maranhão",2.0,"Nordeste","NE",76.86,45.73,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,29.0,"BA","Bahia",2.0,"Nordeste","NE",28.7,45.73,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201612,50.0,"MS","Mato Grosso do Sul",5.0,"Centro-Oeste","CO",55.23,41.88,26.97,"2016-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201712,15.0,"PA","Pará",1.0,"Norte","N ",84.84,75.06,26.68,"2017-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201712,26.0,"PE","Pernambuco",2.0,"Nordeste","NE",28.72,44.97,26.68,"2017-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201712,41.0,"PR","Paraná",4.0,"Sul","S ",21.44,26.11,26.68,"2017-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201812,12.0,"AC","Acre",1.0,"Norte","N ",53.17,74.09,26.35,"2018-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201812,23.0,"CE","Ceará",2.0,"Nordeste","NE",46.74,45.17,26.35,"2018-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201812,32.0,"ES","Espírito Santo",3.0,"Sudeste","SE",10.32,6.7,26.35,"2018-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201812,52.0,"GO","Goiás",5.0,"Centro-Oeste","CO",41.77,40.49,26.35,"2018-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201912,17.0,"TO","Tocantins",1.0,"Norte","N ",57.55,67.3,25.22,"2019-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201912,28.0,"SE","Sergipe",2.0,"Nordeste","NE",42.64,44.28,25.22,"2019-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
201912,43.0,"RS","Rio Grande do Sul",4.0,"Sul","S ",21.12,24.07,25.22,"2019-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
202012,14.0,"RR","Roraima",1.0,"Norte","N ",0.0,0.0,0.0,"2020-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
202012,25.0,"PB","Paraíba",2.0,"Nordeste","NE",0.0,0.0,0.0,"2020-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
202012,35.0,"SP","São Paulo",3.0,"Sudeste","SE",0.0,0.0,0.0,"2020-12-01 12:00:00","2025-10-15 21:09:26","Percentual","CP","Capitais de UF e Distrito Federal","TC","Todas as categorias"
